beername,review
Goose Island Bourbon County Stout,"Bourbon and stout beer had a love child together. Seriously Folks. Creamy, mellow, definite bourbon flavor with a bourbon bite, hint of smoke, and no bitter aftertaste, although those remarkable flavors linger... can’t go wron…"
Goose Island Bourbon County Stout,"Right on the money. From start to finish, everything came together. Thick and dark, the complexity increases throughout the drink. At 14% it is a big beer, but not at all overwhelming. One of my very favorite pours."
Goose Island Bourbon County Stout,"Monthly Beer Share (five of us); Chez Sophie, Shrewsbury. 27th July 2020. I brought the bottle back with me from the US to share with friends. It was the 2019 version (14.7% ABV) with a BBD of 29th Jun 2024. Black body,…"
Goose Island Bourbon County Stout,"Christmas present from my son. Cheers Dantomlinson! 🍻. 2019 vintage @ 15.2%.
Foamy tan head left a rich dark mahogany coloured body.…"
Goose Island Bourbon County Stout,"Black appearance. Aroma is rich, coffee, chocolate and sweet. Flavour is rich, roasted, coffee, sweet, sticky and boozy."
Goose Island Bourbon County Stout,"17/20 Very smooth, huge bourbon taste with a bit of liquorice and chocolate. It's excellent"
Goose Island Bourbon County Stout,"Rocznik 2017. Nalewa się czarne, z ciemnobeżową pianą, która dość szybko opada do obrączki, a potem całkiem znika. W aromacie czekolada, kakao, piekna wanilia, która wzmaga się z czasem. Jest też nuta ciemnyc…"
Goose Island Bourbon County Stout,"TITANIC boozy upfront nose and taste, hard to hide 14.7%. All the best BBA flavors plus some, giggity.  Don't skip if u can find this bad boy"
Goose Island Bourbon County Stout,"2018 on tap. Pours pitch black with a small mocha head. Bourbon barrel aging is noticeable in aroma with chocolate, coffee, toasted grains coming through. Taste is sweeter than expected with an underlying dryness. Full…"
Goose Island Bourbon County Stout,"vintage 2018
Appearance: Pours opaque dark brown to black with creamy brown head, no lacing.…"
Goose Island Bourbon County Stout,"Got a growler at the local ShopRite liquors.  One of the best, ever.  If I could find kegs, I’d keep this on tap at home."
Goose Island Bourbon County Stout,"2019 edition. Black with thin head. Aroma and flavour have light toasted wood and coconut. Dry alcohol taste washed away by sweet caramel, vanilla and chocolate. Very rich.…"
Goose Island Bourbon County Stout,"Fles. 15,2% Editie 2019. Zwart bier met een randje bruin schuim. Geur: koffie, alcoholisch, melasse, hout, hint van vanille. Smaak: zoet, stroperig, kandij, koffie, wat rood fruit, alcoholisch. Volmondig. Matige…"
Goose Island Bourbon County Stout,"2018 Edition.
47,3cl Bottle @ Saveur-Biere, Fretin, France.
Black colour with a thin tan head.…"
Goose Island Bourbon County Stout,Bold bourbon notes with a velvet chocolate bod. Finish has a cake like taste.
Goose Island Bourbon County Stout,"2018 vintage. Chocolate, vanilla oak, licorice, candied sugar. Chewy body and prominent barrel notes. No flavour depth though and no expected complexity. And way too much booze. Very disappointing."
Goose Island Bourbon County Stout,"Pick black, creamy, malty smooth.  Almost like a cross between a barley wine ale and and an imperial Stout.  YUM!"
Goose Island Bourbon County Stout,"Cracking this with two good mates on my 40th birthday as a night cap after a day of solid beer drinking. This big, bad boozy bastard is a huge beer. It’s thick and warming. It’s quite sweet, almost molasses in sickly sweetness.…"
Goose Island Bourbon County Stout,"Appearance: black, little to no head and some lacing. 

Smell:  Smokey, boozy (alcohol), soy sauce, teriyaki sauce, bourbon…"
Goose Island Bourbon County Stout,"Bottle order from the lcbo. Thick syrupy sweet imperial with boozy bourbon hit. Oakiness, chocolate and coffee, and a little vanilla in the finish. Little sweeter than I would have expected. It's quite good, though it tough to…"
Goose Island Bourbon County Stout,this is a beast amazing stout with huge bourbon character well hidden alcohol and silky mouthfeel
Goose Island Bourbon County Stout,"From 2018 pours pitch black with a thin tan head. The aroma is sweet chocolate and bourbon. The flavor is first bourbon, followed by some coffee and chocolate. This is one of my favorite beers"
Goose Island Bourbon County Stout,"Big Bottle, birthday gift from my parents! (2019 Vintage, 14,7 % ABV)Black with little head. Roasted malts, coffee, liqorice, bourbon, oak, booze, leather, tobacco."
Goose Island Bourbon County Stout,Goose Island Beer Company’s Bourbon County Brand Stout 15.2% ABV 60 IBU. This imperial stout pours a opaque brownish black color with a khaki mocha colored head that dissipates rather quickly leaving some lacing on…
Goose Island Bourbon County Stout,"on tap at toronto brewhouse. line of head. big bog coconut and bourbon. yielded in smell and taste. above average mouth.
Earlier Rating: 1/28/2006 Total Score: 4.4…"
Goose Island Bourbon County Stout,"Conclusion of my Take #4 Stout-themed home reception, got lucky to have tumbled on this beer recently, incredible beer. Fantastic!"
Goose Island Bourbon County Stout,"Pours black, fading head.
Nose shows liquorice, cocoa, booze, coffee liqueur,, insanely sweet and rich smelling.…"
Goose Island Bourbon County Stout,"16oz bottle at the Goose Island Brewpub, Shoreditch. It’s black and thick and rich as usual. Really nice, but I’m not sure it quite deserves the hubbub. 
Earlier Rating: 11/25/2017 Total Score: 4.2…"
Goose Island Bourbon County Stout,2019 version is exquisitely chocolatey...everything you have come to expect from Bourbon county. Absolutely delightful experience.
Goose Island Bourbon County Stout,"65cl flesje. Helder donker bruin kleur, fijne bruine schuimkraag. De geur van whisky en vanille. Smaak is zoet, whisky, chocolade, vanille en pruimen. Vol lichaam, veel koolzuur…"
Goose Island Bourbon County Stout,"Wersja 2016. Aromat wyraźnie beczkowy, waniliowy,  kokosowy. Dalej czekolada, kakao, kawa, melano, paloność, alkohol. Barwa czarna nieprzejrzysta. Prawie bez piany. Smak słodki z czekoladą, melano,…"
Goose Island Bourbon County Stout,"Who on earth thinks this is 100/100? I question your judgement. It's good, but I wouldn't pass up a Dragon's Milk for one, that's for sure. Especially not at twice the price. I've never been a huge fan of Goose Island, and I think…"
Goose Island Bourbon County Stout,The best beer that I have ever tasted. If you haven’t then you need to. The only thing that sucks is that it is so hard to find🥴!
Goose Island Bourbon County Stout,"W aromacie solidny bourbon, kokos i czekolada. Niesamowicie gęste, oblepiające. Mocno kawowo czekoladowe, ze zdecydowaną beczkową wanilią. Troche sos sojowy ale nie za mocny."
Goose Island Bourbon County Stout,"2018 batch. Black pour, bourbon nose. Thick, sweet and boozy, wow; this is by far the best BA stout I’ve had!"
Goose Island Bourbon County Stout,Intense rich sucker punch mouthfeel backing up a strong flavour rounded off with booziness perfection. The sip journey is a myriad of dark fruit and chocolate.
Goose Island Bourbon County Stout,"So much history and never disappoints. Caramel, beautiful toffee, oak, yeasty. I wonder if there is an undesirable hint of acidity."
Goose Island Bourbon County Stout,Pours like engine oil with minimal beige foam. Aroma is burnt fruit. Taste is oily bourbon and caramel/toffee. Not a massive fan.
Goose Island Bourbon County Stout,"Friday, November 1, 2019. Bottle, 454mL. 15.2%. Purchase (webshop ""saveur-biere.com, FR). @Naintré with my dad ! A sparkling black beer with a medium beige foamy head ; medium retention ; light lacing. Prune, light…"
Goose Island Bourbon County Stout,Still to this day this is by far one of my favorites to have. I opened a 2007 bottle and poured in to the glass with no head. The aroma was bourbon and chocolate. The The beer still had carbonation after all of these years…
Goose Island Bourbon County Stout,Dark black appearance with thick lacing. Strong bourbon aroma with notes of chocolate. Bourbon taste at front and finish. Very good barrel aged beer
Goose Island Bourbon County Stout,"Aroma is coacoa nibs, licorice, dark chocolate, molasses and bourbon. Taste is dark, thick malts, caramel, chocolate, molasses and coacoa nibs. A nice warm licorice finish is here with a nice accent of bourbon whiskey."
Goose Island Bourbon County Stout,2018 batch. From the look to the aroma to the taste and the after taste. Amazing!
Goose Island Bourbon County Stout,Jet black. Thin tan head. Woody bourbon aroma. Rich mouthfeel. Has chocolate flavors with vanilla overtones alongside a pleasant wood note on the finish. Lingering bitterness. Hides the quite high ABV well. Really…
Goose Island Bourbon County Stout,"31/12/2020. 500ml bottle. 2019 vintage, 15.2% version.
Black with a small brown head disappearing quickly. Aroma of bourbon, caramel, chocolate, leather. Taste is boozy, warming bourbon, oak, leather…"
Goose Island Bourbon County Stout,Wspomnienia z degustacji podczas epickiego panelu który odbył się 14.09.2019 r. :)
Goose Island Bourbon County Stout,Pours dark with thin head.  Aroma of chocolate and strong bourbon.  Flavor a little to bourbon boozy for new.  Sweet sticky finish.
Goose Island Bourbon County Stout,Great bourbon barrel stout.  2017 vintage just a bit more pleasing to me than 2016 or 2018.  Strong caramel and coffee overtones with hint of bourbon.  Long lasting finish.  Like to mix with a hoppy IPA about .25 to 1…
Goose Island Bourbon County Stout,"Butelka wersja 2018 (15.2% ABV):
Czarne, nieprzejrzyste, praktycznie bez piany. W zapachu wanilina, burbon, tytoń, ciemna czekolada. W ustach półsłodkie, pralinkowe, daktylowe i…"
Goose Island Bourbon County Stout,"500ml bottle. 2018 vintage. (15.2% ABV) Pours an opaque black with a small, creamy, short lived, brown head that laces. Sweet aroma of roasted malt, dark chocolate, caramel, bourbon, oak, vanilla and light smoke.…"
Goose Island Bourbon County Stout,Malt chocolate caramel aroma. Dark brown colour poor head and lacing. Malt caramel chocolate flavour with bourbon aftertaste. Smooth lingering palate.
Goose Island Bourbon County Stout,"Bottle. Deep, dark brown with a light brown head. Aroma was complex, with dark roasted grains, coffee, chocolate and vanilla. Taste is mocha, vanilla and malty good."
Goose Island Bourbon County Stout,Acheté au Beverage Boss à New-Haven lors de mon périple au États-Unis avec ma charmante copine. Cette bière est exquise !! Elle est d’un noire très opaque avec une mousse brune sublime mais malheureusement très…
Goose Island Bourbon County Stout,"Shared bottle (2018, 15.2% abv) w/Stephen for S&S Festival of 50. In porter glass, pours near black w/tan head. Black cherry & roast malt feature in aroma and rich taste. Sweetness seaps through bitter choc backbone."
Goose Island Bourbon County Stout,"1 American Pint (cca 500ml) bottle as 2018 Release (15,2%) and bottled 25SEP18 from trade with petrinoda, many thanks man. F: thin, tanned, quick gone. C: black, opaque. A: very complex, chocolate, bit smoked…"
Goose Island Bourbon County Stout,"Smell of burnt toffee and caramel, rich in colour and flavour. Strong aftertaste. Not my favourite stout but worth trying."
Goose Island Bourbon County Stout,"Wow, was not expecting it to be this good (even given the ratings). This is smooth on the palate, with those bourbon tones playing out real nice. Heavy tho, not one you can drink a lot of bit definitely one to savour."
Goose Island Bourbon County Stout,"16.9 oz. bottle. 2017 on the neck label. Pours a deep black color. No light coming through when held up. Aroma is toffee, wood, alcohol and dried fruit. Brief tan head. Full bodied. Flavor  follows the aroma with the dried…"
Goose Island Bourbon County Stout,"1 pint .9 fl. Oz. Bottle.

I have tried the last 3 years of vintage (2017, 2018, and 2019) and have…"
Goose Island Bourbon County Stout,"I enjoy stouts and barrel aged beers. However, this beer was too heavy and sweet. It tasted more like a syrup, not a beer. It was rediculously expensive and disappointing."
Goose Island Bourbon County Stout,"Absolutnie urywa wszystko, co może urywać. Pita wersja 2017, 14.7% alkoholu. Gęste, smoła, z beżową pianą. Aromat wywala z butów - prawdopodobnie najlepszy profil beczki, z jakim miałem do czynienia.…"
Goose Island Bourbon County Stout,"Absolutely flawless. Super dark body that is salty like soya sauce with well balanced vanilla sweetness. Carbonation is just right, palate is clean and the best thing about this all... The warm bourbon burn. Just delicious!"
Goose Island Bourbon County Stout,"2017 release. Aromas of sweet dark fruit and molasses. Big flavor with boozy dark fruit and hop notes. Nice rich mouthfeel. Aftertaste is boozy and hoppy. Great beer, if you like strong, sweet imperial stouts.…"
Goose Island Bourbon County Stout,"500ml bottle, 2017 vintage, April 14th 2019. Pours pitch black with a dark tan cap. Chocolate, dark chocolate, walnuts, coffee, raspberry, cherry, strong vanilla, fudge, not much booze and a controlled sweetness. Thick…"
Goose Island Bourbon County Stout,"[2018] Bottle at home. Dark dark brown and headless. Smoky appearance. Scent is big, gorgeous, juicy caramel notes. Taste is huge caramel brownie sweetness. Finish is clean. Great beer."
Goose Island Bourbon County Stout,2012 version. Huge bourbon aroma. Dries fruits dominate on the palate. Have been saving it for a few yrs.
Goose Island Bourbon County Stout,"All kinds of cherries and dried fruit, dates and just a bit of port, definetly a big beer, not quite black and a bit oily, a little too sweet but fits the abv. This is on Tap at Wexford Pub."
Goose Island Bourbon County Stout,"2018 batch. Huge bourbon aroma straight away, followed by super thick body and boozy chocolate at the end"
Goose Island Bourbon County Stout,"No complaints here....just is super-sweet and STRONG!  More of a dessert beer.  Neighbor who works at Total Wine & More was lucky enough to bring one home and shared.   Probably could split this 3-4 ways, as it adds up…"
Goose Island Bourbon County Stout,"22 oz bottle, 2018.  Pours black with tall, long lasting, creamy, brown head and nice lacing.  Aroma is of chocolate malt, toast, dark fruit, bourbon, vanilla and spices.  Body is full, creamy and smooth.  Taste is of bourbon,…"
Goose Island Bourbon County Stout,"Black color, no foam. Sweet alcohol and chocolate aroma. Very alcoholy strong and sweet taste. Too strong, too sweet for me. I don't get why this beer has so huge rating. It's really hard to drink."
Goose Island Bourbon County Stout,"Svart med fingerhøyt lys brunt skum. Lukter fat, eik, vanilje, bourbon, blomster, mørk sjokolade, kokos og melasse. Fyldig. Lett bitterhet, mørk sjokolade, søt kakedeig,, vanilje, salt lakris. Tykk, fløyelsmyk. Lang,…"
Goose Island Bourbon County Stout,"Ciemnobrunatne prawie czarne nieprzezroczyste piwo z niezłą beżową pianą, która opadając nie zdobi szkła. Aromat intensywny na pierwszym planie bourbon z czekoladą, potem wanilia i ciemne suszone owoce, w tle…"
Goose Island Bourbon County Stout,"B2018. Pięknie pachnie wanilią i czystym kakao. W smaku potężna dawka gorzkiej czekolady, pralin, wanilii. Wysoka pełnia idzie w parze z wytrawnością, ładny balans i tylko nieco alkoholowe."
Goose Island Bourbon County Stout,This is the 2018 iteration which has probably gained a little abv in 4 years.  Still the same old stout.  You know what you’re getting. Great stuff.
Goose Island Bourbon County Stout,"2018 batch. Pours a lovely black with little brown head. Nose is vanilla, chocolate, bourbon and maybe a hint of caramel. The caramel is far more pronounced in the taste, it runs through drink and lingers after. The malt…"
Goose Island Bourbon County Stout,"50 cl bottle (2018) split with Gyhallmanti, A3aan_uit and Emjolnir. Appearance: pitchblack with medium sized beige head. Aroma: bourbon, smoke, coffee, roasted malts, some vanilla, some red fruits even. Taste:…"
Goose Island Bourbon County Stout,"50cl bottle split with SimonBlok, a3aan_uit and emjolnir. Pours jet black colour with almost no head. Aroma of roasted malt, raisins, plums, caramalt, vanilla, bourbon, oak. Taste is medium to full sweet, medium…"
Goose Island Bourbon County Stout,Real dark beer. Rich cocoa smell with a hint of vanilla. Just enough carbonation for a good mouthfeel. The taste is a rich and sweet cocoa taste with a vanilla twist. At the same time there is a hint of cherry to it.…
Goose Island Bourbon County Stout,Courtesy of @Simonblok drank with @emiel @gyhallmanti. Smell: not as intense as I had hoped. Appearance: pitch jet black. No foam. Taste: dark chocolate and rich cherry notes. Long finish buttery you feel in the back…
Goose Island Bourbon County Stout,"Old rating rerated 09.02.2019, 12 oz bottle (2012 vintage) @ home:

Nice light brown slightly bubbly-creamy mediumlasting head, deep dark…"
Goose Island Bourbon County Stout,"1pt 9 fl oz bottle from Beer Hawk. 2017 Vintage. Rating #4500. Pours black-brown in colour, with a brown foamy head that diminishes and aroma of bourbon, sweet malt & caramel, vanilla, oak barrel, fruity, booze.…"
Goose Island Bourbon County Stout,Pours black thin head smell of coffee roasted malts vanilla dark chocolate can definitely smell the alcohol taste roasted malts coffee chocolate vanilla get that kick of alcohol at the end
Goose Island Bourbon County Stout,"Ca 50cl (49,9 pint) flesje via Hopt
Alcoholpercentage van 15,2%
Uitgeschonken in Brand Porter glas…"
Goose Island Bourbon County Stout,"Aroma: roasted malt, caramel, vanilla. 
Taste: roasted malt, vanilla, hints of dried fruits."
Goose Island Bourbon County Stout,"Fles van Hopt.nl U: Zwart met een dunne beige schuimkraag. G: Vanille, bourbon, houtskool, geroosterd, tikje gerookt, donker fruit en alcohol. S: Zoet met wat moutbitterheid. Geroosterd, tikje gerookt, donker fruit,…"
Goose Island Bourbon County Stout,"500ml bottle, 2018 vintage. Poured an opaque black fading to deep brown at the edges. Minimal head leaving a sparse ring of tan foam. Rum, bourbon, raisin, prune, blackberry, espresso, roasted malt, dark chocolate.…"
