"","beername","review","language"
"19","Goose Island Bourbon County Stout","Pours deep coffee with a good tan head. Aroma offers rich roast malt, bourbon, chocolate, coffee, vanilla, woody and dark fruit hints. Flavor presents all of the above, only more dark fruit and wood. Texture adds","english"
"23","Goose Island Bourbon County Stout","6oz glass at the brewery, Chicago, IL. Aroma is interesting and I cannot quite put my finger on it. I'm getting coconut and whisky. It is deep jet black and very thick and sticky looking. But then, wow, the taste. That is an","english"
"24","Goose Island Bourbon County Stout","This year’s (2022) is Classic Cola, and it is amazing! The ultimate twist on a whiskey cola; adding lime and orange juice, plus coriander, cassia bark, nutmeg, brown sugar, and vanilla.","english"
"25","Goose Island Bourbon County Stout","(Bottle, 2021 vintage, 14.0% abv, tasted 11/28/2022) Black body with a small brown head. Luscious aroma of bourbon, vanilla, dark chocolate, molasses, light coffee. Full bodied; velvety, creamy mouthfeel; active","english"
"26","Goose Island Bourbon County Stout","Last bottle of my Easter holidays... and I picked a perfect one. Years after year Bourbon County is just a perfect stout, way better than their gimmicky versions. This is the real one, this is the perfect one!","english"
"28","Goose Island Bourbon County Stout","Pours an opaque midnight brown with a thin but retentive tan head. Aroma is vanilla beans, chocolate, and booze. Taste is sweet (verging on cloying) dark malt, vanilla, chocolate, bourbon whiskey, and prunes. Superb.","english"
"29","Goose Island Bourbon County Stout","500 ml. bottle, bb 28 Jul 26. 14.0% abv. Stout appearance and an enduring film of creamy bubbles. Nose has Baby Ruth candy bar, whiskey, vanilla and oak. Tastes of the same plus a touch of maple syrup. Heavy mouthfeel","english"
"30","Goose Island Bourbon County Stout","Nose tea like smell. Slightly sour taste, yummy and flavorful. Sweet and slightly sour. Somewhat like coke.","english"
"31","Goose Island Bourbon County Stout","Bottle. Poured black color with an average frothy tan head that mostly lasted with good lacing. Moderate to heavy barrel aged toasted dark malt and vanilla aroma. Medium to abundant body with a smooth texture and","english"
"32","Goose Island Bourbon County Stout","2021 vintage. 500 ml bottle. Pours black with little head. Aromas of dark caramel, soft bourbon, chocolate nougat, vanilla, and slick roasted malts. Rich flavors follow same with lots of chocolate nougat and nice warming","english"
"34","Goose Island Bourbon County Stout","Goose Island - Bourbon County Brand Stout (2021) 14,4%   Styl: Imparial Stout  Alkohol: 14,4% obj.  ??Our rich imperial stout is blended from a mix of bourbon barrels from distilleries such as Heaven Hill, Wild Turkey, and","english"
"35","Goose Island Bourbon County Stout","bottle 2017.  I was lucky enough to receive this as a gift and able to let it age until now.  Poured dark opaque brown with a thin creamy tan head. Aroma of sweet dried fruit and vanilla, reminiscent of a fortified wine,  I","english"
"36","Goose Island Bourbon County Stout","I poured it from the bottle into a tulip glass.  It pours black with a tan head.  The aroma is chocolate, coffee, wood, and alcohol.  The taste is chocolate, coffee, smoke, wood, burnt sugar, and vanilla.  This is an excellent sipping","english"
"37","Goose Island Bourbon County Stout","Pours almost black. Good sized medium brown head. Aroma is espresso, chocolate,  raisins, figs, pecans. Taste is soft slightly bitter chocolate, lots of dried dark fruit, burnt coffee. Maybe some burnt candy. Nice creamy","english"
"38","Goose Island Bourbon County Stout","Pours black with a small tan head. Very complex so I’m going to add the description from the bottle. “Notes of vanilla, toffee, chocolate, burnt sugar and dried fruit.”  14% and is still smooth and tastes wonderful.","english"
"39","Goose Island Bourbon County Stout","Black color; fantastic bourbon aroma; Amazing bourbon notes in the flavor along with rich caramel, bitter choclate, roasted malt, and vanilla with nice oak notes that com ethrough in a dry finsh that leaves a lingering warmth","english"
"40","Goose Island Bourbon County Stout","Great flavors, yet not worth $27 per bottle. I would choose North Coast old Rasputin at $3.","english"
"41","Goose Island Bourbon County Stout","Caramel, coffee, overcarbonated, liquor. Missing something to be a renowned banger. 4.1","english"
"46","Goose Island Bourbon County Stout","Strong malty boozy aroma of cocoa, prune, raisin, vanilla, wood, bourbon, and caramel
Pours pitch black with small creamy head, looks thick.","english"
"48","Goose Island Bourbon County Stout","(2018 bottle shared @ Erik's tasting, Stockholm, July 13/19) Pours pitch black with a small pale brown head. Notes of deep caramel and and toffee malts soaked in chocolate and quite some bourbon, with fairly prominent","english"
"49","Goose Island Bourbon County Stout","Good color, smell, and taste. It is thick and feels like you can almost chew it. Not easy to locate but after trying in I can see why it goes quick when you can find it.","english"
"50","Goose Island Bourbon County Stout","2020 millésime, paid 20 euros for it on saveurbiere.com.
Nice imperial stout, lovely Bourbon aromas, chocolate and coffee, but widely overrated and expensive. Should cost 7 boxes","english"
"55","Goose Island Bourbon County Stout","2020 release BCS 
I had to give this 5 because it’s easily the best beer I’ve tried. SO delicious and satisfying, it’s quite an adventure to drink. The depth and complexity i","english"
"56","Goose Island Bourbon County Stout","12oz bottle poured into a Tulip glass, Black in appearance, aroma is rich, coffee, chocolaty and sweet. Flavor is rich, roasted, coffee, licorice, sweet, sticky and boozy. Will recommend to friends.","english"
"57","Goose Island Bourbon County Stout","Un f ing real!
The intense flavors are bouncing all over my mouth.","english"
"60","Goose Island Bourbon County Stout","DATE: November 3, 2020... OCCASION: four years of the last presidency led to a beer I have cellared for almost as long... GLASSWARE: Duvel tulip... pours a jet-black body with a quarter-inch ochre-tinted swirl that roils","english"
"61","Goose Island Bourbon County Stout","Bottle of the 2019 iteration poured into a snifter. Black with a quick, fizzy brown head. Aroma is bourbon, wood, dark and milk chocolate, and a hint of roast. Initial taste is exactly what is in the aroma with more of an","english"
"62","Goose Island Bourbon County Stout","Bottle. Black with slightly tan head. Big boozy powerful nose. Incredibly smooth. Rich and complex and huge. Excellent.","english"
"63","Goose Island Bourbon County Stout","Bourbon and stout beer had a love child together. Seriously Folks. Creamy, mellow, definite bourbon flavor with a bourbon bite, hint of smoke, and no bitter aftertaste, although those remarkable flavors linger... can’t go wron","english"
"64","Goose Island Bourbon County Stout","Right on the money. From start to finish, everything came together. Thick and dark, the complexity increases throughout the drink. At 14% it is a big beer, but not at all overwhelming. One of my very favorite pours.","english"
"65","Goose Island Bourbon County Stout","Monthly Beer Share (five of us); Chez Sophie, Shrewsbury. 27th July 2020. I brought the bottle back with me from the US to share with friends. It was the 2019 version (14.7% ABV) with a BBD of 29th Jun 2024. Black body,","english"
"67","Goose Island Bourbon County Stout","Black appearance. Aroma is rich, coffee, chocolate and sweet. Flavour is rich, roasted, coffee, sweet, sticky and boozy.","english"
"68","Goose Island Bourbon County Stout","17/20 Very smooth, huge bourbon taste with a bit of liquorice and chocolate. It's excellent","english"
"70","Goose Island Bourbon County Stout","TITANIC boozy upfront nose and taste, hard to hide 14.7%. All the best BBA flavors plus some, giggity.  Don't skip if u can find this bad boy","english"
"71","Goose Island Bourbon County Stout","2018 on tap. Pours pitch black with a small mocha head. Bourbon barrel aging is noticeable in aroma with chocolate, coffee, toasted grains coming through. Taste is sweeter than expected with an underlying dryness. Full","english"
"72","Goose Island Bourbon County Stout","vintage 2018
Appearance: Pours opaque dark brown to black with creamy brown head, no lacing.","english"
"73","Goose Island Bourbon County Stout","Got a growler at the local ShopRite liquors.  One of the best, ever.  If I could find kegs, I’d keep this on tap at home.","english"
"74","Goose Island Bourbon County Stout","2019 edition. Black with thin head. Aroma and flavour have light toasted wood and coconut. Dry alcohol taste washed away by sweet caramel, vanilla and chocolate. Very rich.","english"
"76","Goose Island Bourbon County Stout","2018 Edition.
47,3cl Bottle @ Saveur-Biere, Fretin, France.
Black colour with a thin tan head.","english"
"78","Goose Island Bourbon County Stout","2018 vintage. Chocolate, vanilla oak, licorice, candied sugar. Chewy body and prominent barrel notes. No flavour depth though and no expected complexity. And way too much booze. Very disappointing.","english"
"80","Goose Island Bourbon County Stout","Cracking this with two good mates on my 40th birthday as a night cap after a day of solid beer drinking. This big, bad boozy bastard is a huge beer. It’s thick and warming. It’s quite sweet, almost molasses in sickly sweetness.","english"
"81","Goose Island Bourbon County Stout","Appearance: black, little to no head and some lacing. 

Smell:  Smokey, boozy (alcohol), soy sauce, teriyaki sauce, bourbon","english"
"82","Goose Island Bourbon County Stout","Bottle order from the lcbo. Thick syrupy sweet imperial with boozy bourbon hit. Oakiness, chocolate and coffee, and a little vanilla in the finish. Little sweeter than I would have expected. It's quite good, though it tough to","english"
"83","Goose Island Bourbon County Stout","this is a beast amazing stout with huge bourbon character well hidden alcohol and silky mouthfeel","english"
"84","Goose Island Bourbon County Stout","From 2018 pours pitch black with a thin tan head. The aroma is sweet chocolate and bourbon. The flavor is first bourbon, followed by some coffee and chocolate. This is one of my favorite beers","english"
"86","Goose Island Bourbon County Stout","Goose Island Beer Company’s Bourbon County Brand Stout 15.2% ABV 60 IBU. This imperial stout pours a opaque brownish black color with a khaki mocha colored head that dissipates rather quickly leaving some lacing on","english"
"87","Goose Island Bourbon County Stout","on tap at toronto brewhouse. line of head. big bog coconut and bourbon. yielded in smell and taste. above average mouth.
Earlier Rating: 1/28/2006 Total Score: 4.4","english"
"88","Goose Island Bourbon County Stout","Conclusion of my Take #4 Stout-themed home reception, got lucky to have tumbled on this beer recently, incredible beer. Fantastic!","english"
"89","Goose Island Bourbon County Stout","Pours black, fading head.
Nose shows liquorice, cocoa, booze, coffee liqueur,, insanely sweet and rich smelling.","english"
"90","Goose Island Bourbon County Stout","16oz bottle at the Goose Island Brewpub, Shoreditch. It’s black and thick and rich as usual. Really nice, but I’m not sure it quite deserves the hubbub. 
Earlier Rating: 11/25/2017 Total Score: 4.2","english"
"91","Goose Island Bourbon County Stout","2019 version is exquisitely chocolatey...everything you have come to expect from Bourbon county. Absolutely delightful experience.","english"
"94","Goose Island Bourbon County Stout","Who on earth thinks this is 100/100? I question your judgement. It's good, but I wouldn't pass up a Dragon's Milk for one, that's for sure. Especially not at twice the price. I've never been a huge fan of Goose Island, and I think","english"
"95","Goose Island Bourbon County Stout","The best beer that I have ever tasted. If you haven’t then you need to. The only thing that sucks is that it is so hard to find🥴!","english"
"97","Goose Island Bourbon County Stout","2018 batch. Black pour, bourbon nose. Thick, sweet and boozy, wow; this is by far the best BA stout I’ve had!","english"
"98","Goose Island Bourbon County Stout","Intense rich sucker punch mouthfeel backing up a strong flavour rounded off with booziness perfection. The sip journey is a myriad of dark fruit and chocolate.","english"
"99","Goose Island Bourbon County Stout","So much history and never disappoints. Caramel, beautiful toffee, oak, yeasty. I wonder if there is an undesirable hint of acidity.","english"
"100","Goose Island Bourbon County Stout","Pours like engine oil with minimal beige foam. Aroma is burnt fruit. Taste is oily bourbon and caramel/toffee. Not a massive fan.","english"
"102","Goose Island Bourbon County Stout","Still to this day this is by far one of my favorites to have. I opened a 2007 bottle and poured in to the glass with no head. The aroma was bourbon and chocolate. The The beer still had carbonation after all of these years","english"
"103","Goose Island Bourbon County Stout","Dark black appearance with thick lacing. Strong bourbon aroma with notes of chocolate. Bourbon taste at front and finish. Very good barrel aged beer","english"
"104","Goose Island Bourbon County Stout","Aroma is coacoa nibs, licorice, dark chocolate, molasses and bourbon. Taste is dark, thick malts, caramel, chocolate, molasses and coacoa nibs. A nice warm licorice finish is here with a nice accent of bourbon whiskey.","english"
"105","Goose Island Bourbon County Stout","2018 batch. From the look to the aroma to the taste and the after taste. Amazing!","english"
"106","Goose Island Bourbon County Stout","Jet black. Thin tan head. Woody bourbon aroma. Rich mouthfeel. Has chocolate flavors with vanilla overtones alongside a pleasant wood note on the finish. Lingering bitterness. Hides the quite high ABV well. Really","english"
"107","Goose Island Bourbon County Stout","31/12/2020. 500ml bottle. 2019 vintage, 15.2% version.
Black with a small brown head disappearing quickly. Aroma of bourbon, caramel, chocolate, leather. Taste is boozy, warming bourbon, oak, leather","english"
"110","Goose Island Bourbon County Stout","Great bourbon barrel stout.  2017 vintage just a bit more pleasing to me than 2016 or 2018.  Strong caramel and coffee overtones with hint of bourbon.  Long lasting finish.  Like to mix with a hoppy IPA about .25 to 1","english"
"113","Goose Island Bourbon County Stout","Malt chocolate caramel aroma. Dark brown colour poor head and lacing. Malt caramel chocolate flavour with bourbon aftertaste. Smooth lingering palate.","english"
"114","Goose Island Bourbon County Stout","Bottle. Deep, dark brown with a light brown head. Aroma was complex, with dark roasted grains, coffee, chocolate and vanilla. Taste is mocha, vanilla and malty good.","english"
"117","Goose Island Bourbon County Stout","1 American Pint (cca 500ml) bottle as 2018 Release (15,2%) and bottled 25SEP18 from trade with petrinoda, many thanks man. F: thin, tanned, quick gone. C: black, opaque. A: very complex, chocolate, bit smoked","english"
"118","Goose Island Bourbon County Stout","Smell of burnt toffee and caramel, rich in colour and flavour. Strong aftertaste. Not my favourite stout but worth trying.","english"
"119","Goose Island Bourbon County Stout","Wow, was not expecting it to be this good (even given the ratings). This is smooth on the palate, with those bourbon tones playing out real nice. Heavy tho, not one you can drink a lot of bit definitely one to savour.","english"
"120","Goose Island Bourbon County Stout","16.9 oz. bottle. 2017 on the neck label. Pours a deep black color. No light coming through when held up. Aroma is toffee, wood, alcohol and dried fruit. Brief tan head. Full bodied. Flavor  follows the aroma with the dried","english"
"121","Goose Island Bourbon County Stout","1 pint .9 fl. Oz. Bottle.

I have tried the last 3 years of vintage (2017, 2018, and 2019) and have","english"
"122","Goose Island Bourbon County Stout","I enjoy stouts and barrel aged beers. However, this beer was too heavy and sweet. It tasted more like a syrup, not a beer. It was rediculously expensive and disappointing.","english"
"124","Goose Island Bourbon County Stout","Absolutely flawless. Super dark body that is salty like soya sauce with well balanced vanilla sweetness. Carbonation is just right, palate is clean and the best thing about this all... The warm bourbon burn. Just delicious!","english"
"125","Goose Island Bourbon County Stout","2017 release. Aromas of sweet dark fruit and molasses. Big flavor with boozy dark fruit and hop notes. Nice rich mouthfeel. Aftertaste is boozy and hoppy. Great beer, if you like strong, sweet imperial stouts.","english"
"126","Goose Island Bourbon County Stout","500ml bottle, 2017 vintage, April 14th 2019. Pours pitch black with a dark tan cap. Chocolate, dark chocolate, walnuts, coffee, raspberry, cherry, strong vanilla, fudge, not much booze and a controlled sweetness. Thick","english"
"128","Goose Island Bourbon County Stout","2012 version. Huge bourbon aroma. Dries fruits dominate on the palate. Have been saving it for a few yrs.","english"
"129","Goose Island Bourbon County Stout","All kinds of cherries and dried fruit, dates and just a bit of port, definetly a big beer, not quite black and a bit oily, a little too sweet but fits the abv. This is on Tap at Wexford Pub.","english"
"131","Goose Island Bourbon County Stout","No complaints here....just is super-sweet and STRONG!  More of a dessert beer.  Neighbor who works at Total Wine & More was lucky enough to bring one home and shared.   Probably could split this 3-4 ways, as it adds up","english"
"132","Goose Island Bourbon County Stout","22 oz bottle, 2018.  Pours black with tall, long lasting, creamy, brown head and nice lacing.  Aroma is of chocolate malt, toast, dark fruit, bourbon, vanilla and spices.  Body is full, creamy and smooth.  Taste is of bourbon,","english"
"133","Goose Island Bourbon County Stout","Black color, no foam. Sweet alcohol and chocolate aroma. Very alcoholy strong and sweet taste. Too strong, too sweet for me. I don't get why this beer has so huge rating. It's really hard to drink.","english"
"137","Goose Island Bourbon County Stout","This is the 2018 iteration which has probably gained a little abv in 4 years.  Still the same old stout.  You know what you’re getting. Great stuff.","english"
"138","Goose Island Bourbon County Stout","2018 batch. Pours a lovely black with little brown head. Nose is vanilla, chocolate, bourbon and maybe a hint of caramel. The caramel is far more pronounced in the taste, it runs through drink and lingers after. The malt","english"
"139","Goose Island Bourbon County Stout","50 cl bottle (2018) split with Gyhallmanti, A3aan_uit and Emjolnir. Appearance: pitchblack with medium sized beige head. Aroma: bourbon, smoke, coffee, roasted malts, some vanilla, some red fruits even. Taste:","english"
"140","Goose Island Bourbon County Stout","50cl bottle split with SimonBlok, a3aan_uit and emjolnir. Pours jet black colour with almost no head. Aroma of roasted malt, raisins, plums, caramalt, vanilla, bourbon, oak. Taste is medium to full sweet, medium","english"
"141","Goose Island Bourbon County Stout","Real dark beer. Rich cocoa smell with a hint of vanilla. Just enough carbonation for a good mouthfeel. The taste is a rich and sweet cocoa taste with a vanilla twist. At the same time there is a hint of cherry to it.","english"
"142","Goose Island Bourbon County Stout","Courtesy of @Simonblok drank with @emiel @gyhallmanti. Smell: not as intense as I had hoped. Appearance: pitch jet black. No foam. Taste: dark chocolate and rich cherry notes. Long finish buttery you feel in the back","english"
"143","Goose Island Bourbon County Stout","Old rating rerated 09.02.2019, 12 oz bottle (2012 vintage) @ home:

Nice light brown slightly bubbly-creamy mediumlasting head, deep dark","english"
"149","Goose Island Bourbon County Stout","500ml bottle, 2018 vintage. Poured an opaque black fading to deep brown at the edges. Minimal head leaving a sparse ring of tan foam. Rum, bourbon, raisin, prune, blackberry, espresso, roasted malt, dark chocolate.","english"
"152","Goose Island Bourbon County Stout","2018 batch. Since it didn't require any chasing around this year with plenty on the shelf, I decided to buy a couple; one to drink, one for the cellar. Aroma is whiskey with roasted malts, caramel, vanilla, dark fruits. Deep","english"
"153","Goose Island Bourbon County Stout","1 pint bottle served in a snifter. 15.2 % abv, vintage 2018. Poured completely black as pitch with small one finger mocha tan head that dissipated immediately. Minimum carbonation. Aroma: dark chocolate,","english"
"154","Goose Island Bourbon County Stout","New Years Day tradition to have an Imperial Stout for breakfast. Bacon, eggs, toast and Stout. 1st time I've been able to try this one. Black, Brown head. Smell chocolate, cream, dark fruits, hint of coffee, don't smell much","english"
"156","Goose Island Bourbon County Stout","1/3 in tap east. Intense raisin and plum aroma. Deep, heavy mouthfeel. Delicious. Not too booze heavy. Perfect really.","english"
"157","Goose Island Bourbon County Stout","2017 vintage. Vanilla, chocolate, coffee, coconut, bourbon and wood in nose. Pours black with tan head. Taste is sweet with chocolate, coffee, vanilla, roasted malts, bourbon and caramel. Medium bitter finish, soft","english"
"158","Goose Island Bourbon County Stout","2018 bottle. Smells of dark chocolate, berries, Bourbon and coconut. Pour is pitch black. Barely any head. Taste is oaky, dark fruit, dark chocolate, Bourbon, coconut, vanilla, and finishes like melted caramel. Very good","english"
"159","Goose Island Bourbon County Stout","500mL bottle from Bucket Boys, Sydney
15.2%abv Bottled 31AUG18
Pitch black, thick, scary, ominous, deep tan head dissipates.","english"
"160","Goose Island Bourbon County Stout","16.9 ounce bottle at home. 2018 Bottle. Sweet scent of bourbon and malt. Pitch black in color. Beige head. No film on glass. First taste the malt, then goes into a medium bourbon taste. Bourbon after taste for sure. Thick in","english"
"161","Goose Island Bourbon County Stout","Pitch black color, small brown head. Complex and heavy bourbon aromas with dark chocolate, dried figs, wood, dates, molasses, vanilla, toffee and powdered sugar. Taste of bourbon, chocolate, syrup, alcohol, molasses,","english"
"164","Goose Island Bourbon County Stout","(all dingue-dense-wow, choco-dessert, cara, bourbon, fumé, carbo super, costs an arm, ab-inbevisée ?)","english"
"165","Goose Island Bourbon County Stout","Honestly, I don’t know what the big deal is with this beer. Taste like a burnt oak milkshake with 4 shots of bourbon.","english"
"166","Goose Island Bourbon County Stout","On tap at Craft Centric, Asheville, NC. 2018 vintage.  Glad I got it before it disappeared! Pours nearly black with light tan head. Strong nose of bourbon, chocolate, vanilla and roasty malts. Massive taste profile,","english"
"167","Goose Island Bourbon County Stout","God damn this is good. I have been putting this off for far too long. I really dont know why. I coach my sons hockey team and this weekend we won our first tournament with me behind the bench. I broke open a 2014.","english"
"168","Goose Island Bourbon County Stout","2017 from tap at Shoreditch taproom. Complex, rich, velvety, notes of caramel, nuts, chocolate, fudge, vanilla. Aftertaste that lingers forever, with a smoothness that touch every single one of your taste buds.","english"
"169","Goose Island Bourbon County Stout","2018, 15.2% version. Black pour, minimal head, minimal lacing. Aroma dominantly raisin, followed by chocolate. Syrupy mouth feel, extra sweet, a boatload of vanilla but still an abundance of flavors beyond that. The","english"
"170","Goose Island Bourbon County Stout","Draft version, listed at 14.7%, part of the Black Friday celebration at Brew Belly in Olney. ALMOST lives up to the hype. Glad I just got a taster, or I'd have been in trouble. Also picked up a bottle of the 2018 version, which","english"
"172","Goose Island Bourbon County Stout","2018 Edition on tap. Smells like caramelised bourbon fruit cake. Thick and dark, with warmth from the high alcohol. Great for a special occasion","english"
"173","Goose Island Bourbon County Stout","I was one of the first to try this beer. And I won’t be the last. In fact, I feel like people all around the world will be lining up for this incredible vanilla, coffee, tobacco feast of a stout. It’s goddamn amazing.","english"
"174","Goose Island Bourbon County Stout","I have had this beer several times over several years, although I have rated it only three times; this serves as a composite review. I've found it consistently amazing, as much as it pains me to say that since this is an","english"
"177","Goose Island Bourbon County Stout","More likely to feel at home on the shelves of the local Caltex next to a 4L bottle of Castrol Activ 15W-50.","english"
"178","Goose Island Bourbon County Stout","2017 14.1%
Aroma: Caramel, smoke, wood, chocolate, vanilla, rye bread, hazelnuts, cacao, cranberry. Very strong bourbon and whisky notes.","english"
"179","Goose Island Bourbon County Stout","Larger bottle as a gift from Highendtully. Shared in a snifter glass. Deep black color with minimal, almost non-existent head. Aroma is vanilla and chocolate with maybe a hint of caramel. Nose sets up alcohol presence","english"
"180","Goose Island Bourbon County Stout","Bottle.  2017 edition.  Thick black pour with only a small khaki ring for a head.  Aroma is spicy with soy, earth, dark cocoa, molasses, oak, nuts, vanilla, and booze.  14.7% abv is warming but not hot.  Big on chocolate","english"
"183","Goose Island Bourbon County Stout","Extreme chocolate cake, cocoa, some coconut even, wooden barrel, vanilla, just lovely. Pitch black oily color with medium sized brown head. Oh gawd, that's the earthy tone i like about imperial stouts. Alcohol is fascinating","english"
"185","Goose Island Bourbon County Stout","Poured from a bottle. Typical stout look and aroma. Taste is probably a little less than average for a barrel aged stout.","english"
"186","Goose Island Bourbon County Stout","Black with a brown head - Good malt and wood, bourbon aroma - DArk malt body with bourbon and a spicy wood flavour - The dark malt bourbon and wood goes into the finish - This was real good","english"
"187","Goose Island Bourbon County Stout","I had this at Brewoomba beer festival on 4 August 2018 at Goose Island Beer College and it certainly lives up to the hype. Cannot fault this beer in anyway.","english"
"188","Goose Island Bourbon County Stout","Pours very dark with almost no foam. Smells wonderful, bourbon, prunes, raisins, tobacco, leather, and more. Have to wait a few minutes to let it get to temperature. First taste is complex but the alcohol does not overpower","english"
"189","Goose Island Bourbon County Stout","Taster form bottle, vintage 2017, courtesy of Sander, many thanks! Pours a nearly black red-brown with a tan colored head. Aroma of mild bourbon, vanilla, chocolate, raisins, brown sugar and some alcohol. Full body with a","english"
"190","Goose Island Bourbon County Stout","29-06-18 // taster at the Farewell Tasting for Cris. Cheers to you mate! 2017 bottle thanks to a trade with Jdizzle1.Perfect. Still top class. The creaminess, the chocolate sweetness, the bourbon barrel.","english"
"191","Goose Island Bourbon County Stout","Draft third of 2017 at Beer Hawk South Bank. A deep, dark beer in the glass with a little head and some lacing. The nose was malt, vanilla, whisky and alcohol. The taste was all of those, but with the volume turned up to 11!","english"
"193","Goose Island Bourbon County Stout","2017 Bottle: Black color with an aroma of brown sugar, vanilla, and booze. Sweet flavors of sweet malts with lots of alochol. Mild chocolate finish. An absolutely amazing beverage.","english"
"194","Goose Island Bourbon County Stout","Draft (2017). Pours dark brown-black with thin, tan head. Bread crust, vanilla, and oak on the nose. Rich, sweet bread crust malt with subtle chocolate notes upfront. Vanilla and some citrus follows with a touch of","english"
"195","Goose Island Bourbon County Stout","2015 bottle from my friend in Charleston....what a beer..pours thick and dark...vanilla, caramel, etc...delicious","english"
"196","Goose Island Bourbon County Stout","Very smooth. No overwhelming buttery, oak, or bourbon barrel tastes like I've come to expect with other bourbon-barrel brews. Nice sweetness and chocolate notes balance a mild bourbon-alcohol flavor profile which","english"
"197","Goose Island Bourbon County Stout","Very strong aromas of vanilla, caramel, oak and just alcohol generally. Thick, engine oil texture, full body. The flavours that really came through were very intense caramel and vanilla, but less of the bourbon and smoky","english"
"199","Goose Island Bourbon County Stout","Got a second bottle of the 2017 edition of Bourbon County Stout locally after picking up the first on Black Friday last year. This makes drinking the beer a higher priority than before. Not inexpensive for a 16.9 oz serving,","english"
"202","Goose Island Bourbon County Stout","Dark fruit, coffee, chocolate and coffee liqueur on the nose. Palate so silly and beautiful. Big but worth resting on. Boom!","english"
"204","Goose Island Bourbon County Stout","Bottle pour into tulip glass from Whole Foods, Lynnfield (2017 vintage). Appearance is opaque black with nice sparkle at the sides of the glass, ephemeral reddish-light-brown head and no lacing. Aroma is dark fruit,","english"
"205","Goose Island Bourbon County Stout","Delicious stout. The bourbon barrels really smooths it out. Great beer for such a big brewery. We love it! Cheers.","english"
"206","Goose Island Bourbon County Stout","2017. Inky Black pour with a thin light brown head. Aroma is a huge blast of chocolate, bourbon, and molassess. Syrupy molasses and toasted caramel assault your tongue with a hint of smoke. Finish is alcoholic heat","english"
"207","Goose Island Bourbon County Stout","Aroma full of bourbon barrel, vanilla,sweet dark chocolate.Taste is very complex ,bourbon,vanilla,chocolate liqueur,cocoa, sticky,oily, warming alcohol,perfect.","english"
"208","Goose Island Bourbon County Stout","Older vintages are head and shoulders better than newer years. At it's best, this beer is the standard by which all BA Imperial Stouts should be measured.","english"
"210","Goose Island Bourbon County Stout","Dark , rich, very complex stout. Pronounced flavors of malt, caramel, dry fruit with notes of bourbon. Delicious.","english"
"213","Goose Island Bourbon County Stout","2016. Rasins, cocoa, chocolate, rum, plums. Very nice and complex. Quite heavy, sweet. One of the best, if not the best, I ever had.","english"
"214","Goose Island Bourbon County Stout","Vanilla, oak, smoked, chocolate, dark fruits, dates and raisins, dark malts, black with a thin beige head, full body, oily, low carbonation, an explosion of bourbon and hundreds of other sensations....there are many whales","english"
"215","Goose Island Bourbon County Stout","2017 was much better than 2016 well rounded and great mouthfeel only wish it was a little less boozy.","english"
